time,task_id,s0,s1,s2,s3,s4,s5,s6,s7,action,action_prob,reward,s_next0,s_next1,s_next2,s_next3,s_next4,s_next5,s_next6,s_next7,done
37.0,20350,0.0,0.0,0.0,10.0,18000.0,0.0,0.0,7.0,1,0.3333333333333333,0.0,0.0,0.0,0.0,10.0,18000.0,0.0,0.0,7.0,0
38.0,20351,0.0,0.0,0.0,10.0,18000.0,0.0,0.0,7.0,1,0.3333333333333333,0.0,0.0,0.0,0.0,10.0,18000.0,0.0,0.0,7.0,0
40.0,20353,0.0,0.0,0.0,10.0,18000.0,0.0,0.0,7.0,1,0.3333333333333333,0.0,0.0,0.0,0.0,10.0,18000.0,0.0,0.0,6.0,0
39.0,20352,0.0,0.0,0.0,10.0,18000.0,0.0,0.0,7.0,1,0.3333333333333333,0.0,0.0,0.0,0.0,10.0,18000.0,0.0,0.0,6.0,0
42.0,28900,0.0,0.0,0.0,10.0,18000.0,0.0,0.0,3.0,1,0.3333333333333333,0.0,0.0,0.0,0.0,10.0,18000.0,0.0,0.0,3.0,0
40.0,4050,0.0,0.0,0.0,6.0,120000.0,0.0,0.0,7.0,1,0.3333333333333333,0.0,0.0,0.0,0.0,6.0,120000.0,0.0,0.0,7.0,0
42.0,3150,0.0,0.0,0.0,6.0,120000.0,25000.0,1.0,12.0,1,0.25,0.0,0.0,0.0,0.0,6.0,120000.0,25000.0,1.0,12.0,0
41.0,4051,0.0,0.0,0.0,6.0,120000.0,0.0,0.0,7.0,1,0.3333333333333333,0.0,0.0,0.0,0.0,6.0,120000.0,0.0,0.0,7.0,0
43.0,28901,0.0,0.0,0.0,10.0,18000.0,0.0,0.0,3.0,1,0.3333333333333333,0.0,0.0,0.0,0.0,10.0,18000.0,0.0,0.0,4.0,0
41.0,20354,0.0,0.0,0.0,10.0,18000.0,0.0,0.0,6.0,1,0.3333333333333333,125.0,0.0,0.0,0.0,10.0,18000.0,0.0,0.0,6.0,0
42.0,20355,0.0,0.0,0.0,10.0,18000.0,0.0,0.0,6.0,1,0.3333333333333333,100.0,0.0,0.0,0.0,10.0,18000.0,0.0,0.0,6.0,0
43.0,3151,0.0,0.0,0.0,6.0,120000.0,25000.0,1.0,12.0,1,0.25,0.0,0.0,0.0,0.0,6.0,120000.0,25000.0,1.0,12.0,0
44.0,20357,0.0,0.0,0.0,10.0,18000.0,0.0,0.0,6.0,1,0.3333333333333333,0.0,0.0,0.0,0.0,10.0,18000.0,0.0,0.0,6.0,0
42.0,5400,0.0,0.0,0.0,6.0,120000.0,0.0,0.0,2.0,1,0.3333333333333333,0.0,0.0,0.0,0.0,6.0,120000.0,0.0,0.0,2.0,0
43.0,4053,0.0,0.0,0.0,6.0,120000.0,0.0,0.0,7.0,1,0.3333333333333333,0.0,0.0,0.0,0.0,6.0,120000.0,0.0,0.0,6.0,0
44.0,28902,0.0,0.0,0.0,10.0,18000.0,0.0,0.0,3.0,1,0.3333333333333333,0.0,0.0,0.0,0.0,10.0,18000.0,0.0,0.0,5.0,0
42.0,4052,0.0,0.0,0.0,6.0,120000.0,0.0,0.0,7.0,1,0.3333333333333333,0.0,0.0,0.009375,0.0,6.0,120000.0,0.0,0.0,6.0,0
45.0,4055,0.0,0.0,0.0,6.0,120000.0,0.0,0.0,7.0,1,0.3333333333333333,0.0,0.0,0.009375,0.0,6.0,120000.0,0.0,0.0,6.0,0
45.0,28903,0.0,0.0,0.0,10.0,18000.0,0.0,0.0,4.0,1,0.3333333333333333,0.0,0.0,0.009375,0.0,10.0,18000.0,0.0,0.0,5.0,0
46.0,20359,0.0,0.0,0.0,10.0,18000.0,0.0,0.0,6.0,1,0.3333333333333333,0.0,0.0,0.009375,0.0,10.0,18000.0,0.0,0.0,6.0,0
44.0,3152,0.0,0.0,0.0,6.0,120000.0,25000.0,1.0,12.0,1,0.25,0.0,0.0,0.01836734693877551,0.0,6.0,120000.0,25000.0,1.0,12.0,0
46.0,28904,0.0,0.0,0.0,10.0,18000.0,0.0,0.0,4.0,1,0.3333333333333333,0.0,0.0,0.01836734693877551,0.0,10.0,18000.0,0.0,0.0,5.0,0
46.0,3154,0.0,0.0,0.0,6.0,120000.0,25000.0,1.0,12.0,1,0.25,0.0,0.0,0.01836734693877551,0.0,6.0,120000.0,25000.0,1.0,12.0,0
46.0,5404,0.0,0.0,0.0,6.0,120000.0,0.0,0.0,2.0,1,0.3333333333333333,37.5,0.0,0.01836734693877551,0.0,6.0,120000.0,0.0,0.0,2.0,0
46.0,17201,0.0,0.0,0.0,10.0,18000.0,25000.0,1.0,1.0,2,0.25,0.0,0.0,0.01836734693877551,0.0,10.0,18000.0,25000.0,1.0,3.0,0
47.0,28905,0.0,0.0,0.0,10.0,18000.0,0.0,0.0,5.0,1,0.3333333333333333,0.0,0.0,0.01836734693877551,0.0,10.0,18000.0,0.0,0.0,5.0,0
43.0,5401,0.0,0.0,0.0,6.0,120000.0,0.0,0.0,2.0,1,0.3333333333333333,9900.0,0.0,0.027,0.0,6.0,120000.0,0.0,0.0,2.0,1
45.0,20358,0.0,0.0,0.0,10.0,18000.0,0.0,0.0,6.0,1,0.3333333333333333,62.5,0.0,0.027,0.0,10.0,18000.0,0.0,0.0,6.0,0
45.0,17200,0.0,0.0,0.0,10.0,18000.0,25000.0,1.0,1.0,2,0.25,0.0,0.0,0.027,0.0,10.0,18000.0,25000.0,1.0,3.0,0
47.0,3155,0.0,0.0,0.0,6.0,120000.0,25000.0,1.0,13.0,1,0.25,0.0,0.0,0.027,0.0,6.0,120000.0,25000.0,1.0,13.0,0
47.0,17202,0.0,0.0,0.0,10.0,18000.0,25000.0,1.0,3.0,2,0.25,0.0,0.0,0.027,0.0,10.0,18000.0,25000.0,1.0,3.0,0
46.0,24400,0.0,0.0,0.0,10.0,18000.0,0.0,0.0,7.0,1,0.3333333333333333,0.0,0.0,0.027,0.0,10.0,18000.0,0.0,0.0,7.0,0
44.0,4054,0.0,0.0,0.0,6.0,120000.0,0.0,0.0,7.0,1,0.3333333333333333,0.0,0.0,0.027,0.0,6.0,120000.0,0.0,0.0,6.0,0
43.0,20356,0.0,0.0,0.0,10.0,18000.0,0.0,0.0,6.0,1,0.3333333333333333,0.0,0.0,0.030882352941176472,0.0,10.0,18000.0,0.0,0.0,6.0,0
47.0,20360,0.0,0.0,0.0,10.0,18000.0,0.0,0.0,6.0,1,0.3333333333333333,0.0,0.0,0.030882352941176472,0.0,10.0,18000.0,0.0,0.0,6.0,0
47.0,5405,0.0,0.0,0.0,6.0,120000.0,0.0,0.0,2.0,1,0.3333333333333333,0.0,0.0,0.030882352941176472,0.0,6.0,120000.0,0.0,0.0,2.0,0
48.0,24402,0.0,0.009375,0.0,10.0,18000.0,0.0,0.0,7.0,1,0.3333333333333333,0.0,0.0,0.030882352941176472,0.0,10.0,18000.0,0.0,0.0,7.0,0
47.0,4057,0.0,0.0,0.0,6.0,120000.0,0.0,0.0,6.0,1,0.3333333333333333,0.0,0.0,0.030882352941176472,0.0,6.0,120000.0,0.0,0.0,6.0,0
48.0,4058,0.0,0.009375,0.0,6.0,120000.0,0.0,0.0,6.0,1,0.3333333333333333,0.0,0.0,0.030882352941176472,0.0,6.0,120000.0,0.0,0.0,6.0,0
48.0,12700,0.0,0.009375,0.0,10.0,18000.0,25000.0,2.0,7.0,2,0.25,0.0,0.0,0.030882352941176472,0.0,10.0,18000.0,25000.0,1.0,7.0,0
49.0,28907,0.0,0.01836734693877551,0.0,10.0,18000.0,0.0,0.0,5.0,1,0.3333333333333333,25.0,0.0,0.030882352941176472,0.0,10.0,18000.0,0.0,0.0,4.0,0
47.0,24401,0.0,0.0,0.0,10.0,18000.0,0.0,0.0,7.0,1,0.3333333333333333,0.0,0.0,0.030882352941176472,0.0,10.0,18000.0,0.0,0.0,7.0,0
45.0,5403,0.0,0.0,0.0,6.0,120000.0,0.0,0.0,2.0,1,0.3333333333333333,9900.0,0.0,0.03894230769230769,0.0,6.0,120000.0,0.0,0.0,3.0,1
48.0,17203,0.0,0.009375,0.0,10.0,18000.0,25000.0,1.0,3.0,2,0.25,0.0,0.0,0.03894230769230769,0.0,10.0,18000.0,25000.0,1.0,3.0,0
45.0,3153,0.0,0.0,0.0,6.0,120000.0,25000.0,1.0,12.0,1,0.25,9900.0,0.0,0.03894230769230769,0.0,6.0,120000.0,25000.0,1.0,11.0,1
48.0,28906,0.0,0.009375,0.0,10.0,18000.0,0.0,0.0,5.0,1,0.3333333333333333,50.0,0.0,0.03894230769230769,0.0,10.0,18000.0,0.0,0.0,4.0,0
48.0,3156,0.0,0.009375,0.0,6.0,120000.0,25000.0,1.0,13.0,1,0.25,0.0,0.0,0.03894230769230769,0.0,6.0,120000.0,25000.0,1.0,11.0,0
50.0,17205,0.0,0.027,0.0,10.0,18000.0,25000.0,1.0,3.0,2,0.25,0.0,0.0,0.03894230769230769,0.0,10.0,18000.0,25000.0,1.0,3.0,0
50.0,24404,0.0,0.027,0.0,10.0,18000.0,0.0,0.0,7.0,1,0.3333333333333333,0.0,0.0,0.03894230769230769,0.0,10.0,18000.0,0.0,0.0,8.0,0
46.0,9800,0.0,0.0,0.0,30.0,600000.0,25000.0,1.0,3.0,1,0.25,9900.0,0.0,0.038597487054940004,12.5,30.0,600000.0,25000.0,2.0,3.0,1
46.0,4056,0.0,0.0,0.0,6.0,120000.0,0.0,0.0,6.0,1,0.3333333333333333,9900.0,0.0,0.0509433962264151,0.0,6.0,120000.0,0.0,0.0,6.0,1
49.0,12701,0.0,0.01836734693877551,0.0,10.0,18000.0,25000.0,2.0,7.0,2,0.25,0.0,0.0,0.0509433962264151,0.0,10.0,18000.0,25000.0,1.0,8.0,0
49.0,4951,0.0,0.01836734693877551,0.0,6.0,120000.0,25000.0,1.0,8.0,1,0.25,0.0,0.0,0.0509433962264151,0.0,6.0,120000.0,25000.0,1.0,9.0,0
49.0,24403,0.0,0.01836734693877551,0.0,10.0,18000.0,0.0,0.0,7.0,1,0.3333333333333333,0.0,0.0,0.0509433962264151,0.0,10.0,18000.0,0.0,0.0,8.0,0
50.0,3158,0.0,0.027,0.0,6.0,120000.0,25000.0,1.0,13.0,1,0.25,0.0,0.0,0.0509433962264151,0.0,6.0,120000.0,25000.0,1.0,11.0,0
49.0,17204,0.0,0.01836734693877551,0.0,10.0,18000.0,25000.0,1.0,3.0,2,0.25,0.0,0.0,0.0509433962264151,0.0,10.0,18000.0,25000.0,1.0,3.0,0
51.0,24405,0.0,0.030882352941176472,0.0,10.0,18000.0,0.0,0.0,7.0,1,0.3333333333333333,0.0,0.0,0.0509433962264151,0.0,10.0,18000.0,0.0,0.0,8.0,0
51.0,28909,0.0,0.030882352941176472,0.0,10.0,18000.0,0.0,0.0,4.0,1,0.3333333333333333,0.0,0.0,0.0509433962264151,0.0,10.0,18000.0,0.0,0.0,4.0,0
50.0,28908,0.0,0.027,0.0,10.0,18000.0,0.0,0.0,5.0,1,0.3333333333333333,9900.0,0.0,0.05,0.0,10.0,18000.0,0.0,0.0,4.0,1
48.0,20361,0.0,0.009375,0.0,10.0,18000.0,0.0,0.0,6.0,1,0.3333333333333333,75.0,0.0,0.05833333333333334,0.0,10.0,18000.0,0.0,0.0,6.0,0
50.0,4952,0.0,0.027,0.0,6.0,120000.0,25000.0,1.0,9.0,1,0.25,0.0,0.0,0.05833333333333334,0.0,6.0,120000.0,25000.0,1.0,10.0,0
51.0,17206,0.0,0.030882352941176472,0.0,10.0,18000.0,25000.0,1.0,3.0,2,0.25,0.0,0.0,0.05833333333333334,0.0,10.0,18000.0,25000.0,1.0,4.0,0
51.0,4061,0.0,0.030882352941176472,0.0,6.0,120000.0,0.0,0.0,6.0,1,0.3333333333333333,0.0,0.0,0.05833333333333334,0.0,6.0,120000.0,0.0,0.0,5.0,0
51.0,5409,0.0,0.030882352941176472,0.0,6.0,120000.0,0.0,0.0,2.0,1,0.3333333333333333,37.5,0.0,0.05833333333333334,0.0,6.0,120000.0,0.0,0.0,3.0,0
50.0,12702,0.0,0.027,0.0,10.0,18000.0,25000.0,2.0,7.0,2,0.25,0.0,0.0,0.05833333333333334,0.0,10.0,18000.0,25000.0,2.0,8.0,0
52.0,20365,0.0,0.03894230769230769,0.0,10.0,18000.0,0.0,0.0,6.0,1,0.3333333333333333,25.0,0.0,0.05833333333333334,0.0,10.0,18000.0,0.0,0.0,6.0,0
47.0,9801,0.0,0.0,0.0,30.0,600000.0,25000.0,1.0,4.0,1,0.25,87.5,0.0,0.05833333333333334,12.5,30.0,600000.0,25000.0,2.0,4.0,0
52.0,28910,0.0,0.03894230769230769,0.0,10.0,18000.0,0.0,0.0,4.0,1,0.3333333333333333,0.0,0.0,0.05833333333333334,0.0,10.0,18000.0,0.0,0.0,4.0,0
49.0,20362,0.0,0.01836734693877551,0.0,10.0,18000.0,0.0,0.0,6.0,1,0.3333333333333333,75.0,0.0,0.07363636363636364,0.0,10.0,18000.0,0.0,0.0,5.0,0
49.0,3157,0.0,0.01836734693877551,0.0,6.0,120000.0,25000.0,1.0,12.0,1,0.25,0.0,0.0,0.07363636363636364,0.0,6.0,120000.0,25000.0,2.0,10.0,0
49.0,5407,0.0,0.01836734693877551,0.0,6.0,120000.0,0.0,0.0,2.0,1,0.3333333333333333,150.0,0.0,0.07363636363636364,0.0,6.0,120000.0,0.0,0.0,3.0,0
51.0,2701,0.0,0.030882352941176472,0.0,6.0,120000.0,0.0,0.0,6.0,1,0.3333333333333333,0.0,0.0,0.07363636363636364,0.0,6.0,120000.0,0.0,0.0,6.0,0
51.0,12703,0.0,0.030882352941176472,0.0,10.0,18000.0,25000.0,1.0,7.0,2,0.25,0.0,0.0,0.07363636363636364,0.0,10.0,18000.0,25000.0,2.0,8.0,0
52.0,25751,0.0,0.03894230769230769,0.0,10.0,18000.0,0.0,0.0,8.0,1,0.3333333333333333,0.0,0.0,0.07363636363636364,0.0,10.0,18000.0,0.0,0.0,8.0,0
52.0,3160,0.0,0.03894230769230769,0.0,6.0,120000.0,25000.0,1.0,11.0,1,0.25,0.0,0.0,0.07363636363636364,0.0,6.0,120000.0,25000.0,2.0,10.0,0
51.0,3159,0.0,0.030882352941176472,0.0,6.0,120000.0,25000.0,1.0,13.0,1,0.25,100.0,0.0,0.07363636363636364,0.0,6.0,120000.0,25000.0,2.0,10.0,0
49.0,4059,0.0,0.01836734693877551,0.0,6.0,120000.0,0.0,0.0,6.0,1,0.3333333333333333,75.0,0.0,0.07363636363636364,0.0,6.0,120000.0,0.0,0.0,5.0,0
52.0,12704,0.0,0.03894230769230769,0.0,10.0,18000.0,25000.0,2.0,7.0,2,0.25,0.0,0.0,0.07363636363636364,0.0,10.0,18000.0,25000.0,2.0,8.0,0
51.0,20364,0.0,0.030882352941176472,0.0,10.0,18000.0,0.0,0.0,6.0,1,0.3333333333333333,50.0,0.0,0.07363636363636364,0.0,10.0,18000.0,0.0,0.0,5.0,0
52.0,24406,0.0,0.03894230769230769,0.0,10.0,18000.0,0.0,0.0,8.0,1,0.3333333333333333,0.0,0.0,0.07363636363636364,0.0,10.0,18000.0,0.0,0.0,7.0,0
